egfr,iressa,lung,month,tar,"Evergreen,_Edmonton",Donkey_Punch_(pornographic_film)
64,40,1357,200801,47,0.0,0.0
156,81,2205,200801,133,0.0,0.0
213,100,2728,200801,118,0.0,0.0
174,89,2582,200801,108,0.0,0.0
87,53,1885,200801,72,0.0,0.0
107,58,2128,200801,57,0.0,0.0
244,88,2837,200801,120,0.0,0.0
229,90,3124,200801,144,0.0,0.0
216,126,3327,200801,127,0.0,0.0
251,127,3260,200801,150,0.0,0.0
208,112,3531,200801,145,0.0,0.0
131,53,2001,200801,97,0.0,0.0
120,60,2270,200801,71,0.0,0.0
219,127,3542,200801,160,0.0,0.0
235,119,3330,200801,167,0.0,0.0
238,94,3297,200801,166,0.0,0.0
264,119,3379,200801,147,0.0,0.0
200,102,3045,200801,164,0.0,0.0
126,76,1869,200801,97,0.0,0.0
112,64,2183,200801,70,0.0,0.0
220,118,3102,200801,146,0.0,0.0
227,88,3366,200801,140,0.0,0.0
265,126,3418,200801,148,0.0,0.0
303,108,3467,200801,146,0.0,0.0
235,109,2910,200801,124,0.0,0.0
130,52,2095,200801,87,0.0,0.0
137,87,2246,200801,89,0.0,0.0
212,132,3182,200801,179,0.0,0.0
239,122,3678,200801,149,0.0,0.0
239,124,3471,200801,158,0.0,0.0
213,86,3045,200802,127,0.0,0.0
137,52,1968,200802,63,0.0,0.0
160,70,2055,200802,68,0.0,0.0
213,114,3176,200802,160,0.0,0.0
235,117,3496,200802,143,0.0,0.0
254,143,3391,200802,139,0.0,0.0
219,106,3342,200802,141,0.0,0.0
194,76,3030,200802,104,0.0,0.0
111,62,2038,200802,70,0.0,0.0
130,55,2226,200802,90,0.0,0.0
223,126,3584,200802,141,0.0,0.0
303,142,3736,200802,166,0.0,0.0
233,127,3456,200802,159,0.0,0.0
315,137,3453,200802,172,0.0,0.0
188,143,2954,200802,142,0.0,0.0
117,64,1970,200802,95,0.0,0.0
152,68,2215,200802,84,0.0,0.0
283,113,3259,200802,140,0.0,0.0
296,156,3792,200802,157,0.0,0.0
293,128,3857,200802,159,0.0,0.0
271,138,3763,200802,158,0.0,0.0
231,119,3344,200802,138,0.0,0.0
135,81,2141,200802,97,0.0,0.0
132,95,2536,200802,102,0.0,0.0
313,166,3761,200802,182,0.0,0.0
305,145,4042,200802,169,0.0,0.0
278,151,3841,200802,165,0.0,0.0
0,0,0,200802,0,0.0,0.0
244,134,3185,200802,170,0.0,0.0
0,0,0,200802,0,0.0,0.0
0,0,0,200802,0,0.0,0.0
0,0,0,200803,0,0.0,0.0
213,126,2582,200803,102,0.0,0.0
0,0,0,200803,0,0.0,0.0
0,0,0,200803,0,0.0,0.0
330,147,4111,200803,197,0.0,0.0
297,183,4743,200803,306,0.0,0.0
213,123,3666,200803,183,0.0,0.0
140,78,2453,200803,107,0.0,0.0
159,71,2723,200803,100,0.0,0.0
289,164,4169,200803,182,0.0,0.0
302,125,4084,200803,196,0.0,0.0
311,160,4346,200803,200,0.0,0.0
278,162,4019,200803,180,0.0,0.0
249,114,3246,200803,177,0.0,0.0
143,77,2248,200803,101,0.0,0.0
157,103,2550,200803,106,0.0,0.0
270,147,3678,200803,177,0.0,0.0
262,120,3892,200803,172,3.0,0.0
286,133,3656,200803,170,4.0,0.0
277,137,3182,200803,202,0.0,0.0
177,98,2371,200803,97,2.0,0.0
111,70,1855,200803,95,2.0,0.0
155,54,1903,200803,62,1.0,0.0
236,120,3281,200803,144,1.0,0.0
304,160,3951,200803,181,1.0,0.0
303,114,3673,200803,136,8.0,0.0
274,163,3569,200803,193,2.0,0.0
277,129,3250,200803,139,2.0,0.0
166,68,2115,200803,78,1.0,0.0
200,86,2611,200803,86,1.0,0.0
331,145,3992,200803,180,1.0,0.0
318,155,3905,200804,167,,0.0
